#,NAME,RAJD,DECJD,BINARY,BINCOMP,PSR,AGE,EDOT,
645,J1139-6247,174.75000000,-62.78333333,*,*,NRAD[nie+20],4.71e+05,9.14e+34,
646,J1141-3107,175.35678750,-31.13127778,*,*,*,4.35e+06,4.96e+32,
647,J1141-3322,175.42815000,-33.37703056,*,*,*,9.92e+06,7.42e+32,
648,J1141-6545,175.27922500,-65.75530919,DD,CO[abw+11],*,1.45e+06,2.78e+33,
649,J1142+0119,175.70893750,1.32658056,ELL1,He[san16],HE,5.36e+09,4.53e+33,
650,J1142-6230,175.71875000,-62.50108333,*,*,*,1.13e+08,1.77e+31,
651,J1143-5158,175.81277083,-51.97774722,*,*,*,1.54e+07,8.90e+31,
652,J1143-5536,175.79079167,-55.60125000,*,*,*,2.24e+07,5.95e+31,
653,J1144-6146,176.14500000,-61.78027778,*,*,*,*,*,
654,J1144-6217,176.00879167,-62.29175000,*,*,*,4.37e+05,1.98e+33,
655,B1143-60,176.53214667,-60.51656167,*,*,*,2.42e+06,3.46e+33,
656,J1146-6610,176.74322125,-66.18093278,ELL1,He[lkf+21],*,7.44e+09,6.07e+33,
657,J1148-5725,177.11887500,-57.42016667,*,*,*,5.08e+06,9.71e+30,
658,J1148-6415,177.15750000,-64.25916667,*,*,*,1.90e+07,3.13e+30,
659,J1151-6108,177.98691667,-61.13822222,*,*,HE[ncb+15/aab+22],1.57e+05,3.87e+35,
660,J1152-5800,178.04166667,-58.00944444,*,*,*,2.21e+07,8.82e+30,
661,J1152-6012,178.22416667,-60.20583333,*,*,*,8.93e+05,4.94e+33,
662,J1152-6056,178.15600000,-60.93944444,*,*,RRAT(?)[bbc+22],*,*,
663,J1153-2117,178.24166667,-21.29805556,*,*,RRAT[kkl+15],*,*,
664,J1154-19,178.50000000,-19.00000000,*,*,*,*,*,
665,J1154-6250,178.58375000,-62.83408333,*,*,*,7.99e+06,9.84e+32,
666,J1156-1318,179.17500000,-13.30611111,*,*,RRAT[mss+20],*,*,
667,J1156-5707,179.03104167,-57.11725000,*,*,*,1.72e+05,4.37e+34,
668,J1156-5909,179.08958333,-59.15341667,*,*,*,1.61e+07,3.60e+31,
669,J1157-5112,179.28402500,-51.21559444,ELL1,CO[eb01b],*,4.83e+09,6.82e+31,
670,B1154-62,179.31336250,-62.41414722,*,*,*,1.61e+06,2.42e+33,
671,J1159-6409,179.84041667,-64.16583333,*,*,*,4.41e+08,3.19e+30,
672,J1159-7910,179.89879167,-79.16822222,*,*,*,2.95e+06,7.68e+32,
673,J1201-6306,180.34587500,-63.11652778,*,*,*,2.64e+06,6.76e+32,
674,B1159-58,180.61802083,-58.34267778,*,*,*,3.37e+06,9.06e+32,
675,J1203-6242,180.75000000,-62.70000000,*,*,NRAD[nie+20],3.61e+04,1.71e+36,
676,J1204-6843,181.15300000,-68.72144167,*,*,*,2.25e+07,2.91e+32,
677,J1207-4508,181.83025000,-45.13586111,*,*,*,1.80e+07,1.11e+31,
678,J1207-5050,181.84334967,-50.84407778,*,*,HE[brj+21],1.27e+10,2.11e+33,
679,J1208-6238,182.05816667,-62.63425000,*,*,NRAD[aab+22],2.14e+03,1.51e+36,
680,J1210-5226,182.50379167,-52.44122222,*,*,NRAD,3.02e+08,1.15e+31,
681,J1210-5559,182.52494608,-55.98440281,*,*,*,6.11e+06,1.31e+33,
682,J1210-6322,182.69491667,-63.37247222,*,*,*,1.99e+06,2.32e+32,
683,J1210-6550,182.67500000,-65.83461111,*,*,*,1.56e+08,2.24e+29,
684,J1211-6324,182.85075000,-63.41255556,*,*,*,2.67e+07,1.25e+32,
685,J1214-5830,183.53508333,-58.50719444,*,*,*,2.70e+08,2.80e+30,
686,J1215-5328,183.75258333,-53.47544444,*,*,*,8.77e+07,1.76e+31,
687,J1216-50,184.08333333,-50.45027778,*,*,RRAT,*,*,
688,J1216-6223,184.17483333,-62.39916667,*,*,*,3.52e+05,1.27e+34,
689,J1216-6410,184.03058167,-64.16922944,ELL1,He[fsk+04],*,3.47e+10,1.44e+33,
690,J1220-6318,185.07441667,-63.31291667,*,*,*,1.56e+08,6.45e+30,
691,J1221-0633,185.35316317,-6.56435643,ELL1,UL[spp+23],HE[aab+22],5.82e+09,2.87e+34,
692,J1222-5738,185.71791667,-57.63888889,*,*,*,1.14e+08,4.69e+30,
693,J1223-5856,185.91725000,-58.94691667,*,*,*,8.02e+08,9.37e+30,
694,J1224-6208,186.18437500,-62.14475000,*,*,*,4.60e+05,3.97e+33,
695,B1221-63,186.09272500,-64.13163056,*,*,HE[lsg+15],6.92e+05,1.93e+34,
696,J1225-5556,186.43261250,-55.94531667,*,*,*,7.82e+06,7.71e+31,
697,J1225-6035,186.36929167,-60.59377778,*,*,*,3.45e+07,4.63e+31,
698,B1222-63,186.42833333,-64.14527778,*,*,*,7.03e+06,5.05e+32,
